model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,rank_mode,family,similarity,mean_center,min_support,beta,fit_time_s
"UBCF[cosine,mc,k=5]",val,5,0.9861398379075608,0.7698139357916274,9596,0.056153332989197224,0.7278122910065576,0.019630666996818036,7121536,0.15338882282996433,258,943,880,1.0,0.010795454545454546,0.0,0.032130337200554984,0.02090083147507293,0.0,0.09203029421392157,0.10454545454545454,0.0,0.30614082541373605,0.012663095538535308,0.0,0.043752797732417616,0.003890224166265833,0.0,0.017625483175256168,6.678699875203354,6.8020419037435484,0.9632640297759134,0.6706131119031603,0.6823333414130668,0.10175651654804004,0.6363284239106779,0.6525282569898869,0.1327399371947657,0.15715800636267235,0.1,0.13133797610419637,0.08080593849416753,0.1,0.08768421607185835,0.7620360551431603,0.8,0.15794893815352828,rating,ubcf,cosine,True,3,25.0,0.056153332989197224
"UBCF[cosine,mc,k=5]",val,5,0.9861398379075608,0.7698139357916274,9596,0.056153332989197224,0.0046185830142349005,0.015715000045020133,7121536,0.22294887039239,375,943,880,1.0,0.05204545454545454,0.0,0.07659059030399956,0.10730686374986365,0.0,0.20405239400083056,0.3875,0.0,0.4874564243527579,0.09108343427655481,0.0,0.15044989466776248,0.04608568733680341,0.0,0.1012201116897921,2.741227779816512,2.673520036367015,0.48232973015400776,0.7066182064268424,0.7155903242620221,0.09762671895662467,0.09660304204624955,0.08447352766210589,0.05835576031944724,0.5655355249204665,0.6,0.2046951660342442,0.3274655355249204,0.3,0.1617271516525276,0.10699893955461294,0.1,0.1332821305570937,score,ubcf,cosine,True,3,25.0,0.056153332989197224
"UBCF[cosine,mc,k=5]",val,5,0.9861398379075608,0.7698139357916274,9596,0.056153332989197224,0.0044593330239877105,0.015568457951303571,7121536,0.2734839476813318,460,943,880,1.0,0.06920454545454545,0.0,0.09072733019040713,0.13912486389706175,0.0,0.22634653096193993,0.4738636363636364,0.0,0.49960036775295635,0.11838809392718072,0.0,0.17280300332392856,0.06216934581071485,0.0,0.12704845427832345,2.576676066527432,2.5470098110003336,0.34722045530365336,0.7110986066755698,0.7220766460293546,0.08709340159922581,0.07468405855980034,0.06841165972635337,0.03685546264321315,0.6088016967126192,0.6,0.2191397626652503,0.335949098621421,0.3,0.19051646633710514,0.055249204665959714,0.0,0.09129590976031388,affinity,ubcf,cosine,True,3,25.0,0.056153332989197224
"UBCF[cosine,mc,k=10]",val,10,0.9546767766217137,0.7447620858548486,9596,0.00031750003108754754,0.7668919999850914,0.01629050000337884,7121536,0.0802615933412604,135,943,880,1.0,0.0057954545454545455,0.0,0.023860687385813695,0.013072743228993228,0.0,0.07820397660211895,0.056818181818181816,0.0,0.2316265159691128,0.006820135859219737,0.0,0.03261304377449288,0.0019820129440665155,0.0,0.011844462550047901,7.558899049877857,7.6926318430640945,0.7592708499452976,0.6506569692193941,0.669183303423375,0.10065902171804646,0.7594995656652892,0.7772754312908984,0.10371131473968627,0.08579003181336162,0.1,0.09681546363156206,0.02258748674443266,0.0,0.047090355983913555,0.8916224814422058,0.9,0.11060448463144476,rating,ubcf,cosine,True,3,25.0,0.00031750003108754754
"UBCF[cosine,mc,k=10]",val,10,0.9546767766217137,0.7447620858548486,9596,0.00031750003108754754,0.006022082990966737,0.016843417019117624,7121536,0.14863258026159334,250,943,880,1.0,0.061250000000000006,0.0,0.08471745854055093,0.1224637225653717,0.0,0.21719403074058458,0.4340909090909091,0.0,0.49591880772315206,0.10557864484976869,0.0,0.16053297253240253,0.05452572010496117,0.0,0.1101911353238323,2.4851201399192577,2.481313133066934,0.3218652323607527,0.6900233113854588,0.6940632777365761,0.09384644668371817,0.0659346586482444,0.06389054134443782,0.03157610130490144,0.6623541887592789,0.7,0.19163386694599016,0.2909862142099682,0.3,0.16534523754995448,0.04665959703075292,0.0,0.07217413574941528,score,ubcf,cosine,True,3,25.0,0.00031750003108754754
"UBCF[cosine,mc,k=10]",val,10,0.9546767766217137,0.7447620858548486,9596,0.00031750003108754754,0.00586312502855435,0.015035249991342425,7121536,0.1985731272294887,334,943,880,1.0,0.06875,0.0,0.08802358381879764,0.14840933640183182,0.0,0.24068689821430753,0.4784090909090909,0.0,0.49981768317385444,0.12076740822795028,0.0,0.1710690977402084,0.06305050898726494,0.0,0.12063036191223223,2.501207025167162,2.5052970440862943,0.34603326819954927,0.6874777189226023,0.6963120718932636,0.0888437934908112,0.0664168111820528,0.06079714455681142,0.033475173637843664,0.6369034994697773,0.7,0.22572308490698853,0.3230116648992577,0.3,0.1995500428689721,0.040084835630965,0.0,0.07630529538066888,affinity,ubcf,cosine,True,3,25.0,0.00031750003108754754
"UBCF[cosine,mc,k=20]",val,20,0.9430180466654868,0.7354793734501875,9596,0.00028083298821002245,0.7976218749536201,0.01694033300736919,7121536,0.055291319857312726,93,943,880,1.0,0.0022727272727272726,0.0,0.014911744363790625,0.005676460534415079,0.0,0.056547413115854206,0.022727272727272728,0.0,0.14911744363790624,0.0026660722571534823,0.0,0.020791140211565955,0.0007387566137566137,0.0,0.006830763980704141,8.02836645869447,8.194225997450996,0.491395307217245,0.6469798393977152,0.669183303423375,0.09723991684268368,0.8241153860469107,0.845984533016062,0.06612228949435951,0.02841993637327678,0.0,0.05332217610070733,0.005514316012725345,0.0,0.02283806086631647,0.9660657476139979,1.0,0.05877467791453616,rating,ubcf,cosine,True,3,25.0,0.00028083298821002245
"UBCF[cosine,mc,k=20]",val,20,0.9430180466654868,0.7354793734501875,9596,0.00028083298821002245,0.006239500013180077,0.016533499991055578,7121536,0.09571938168846611,161,943,880,1.0,0.06522727272727273,0.0,0.08753971661895864,0.12236862347410739,0.0,0.20258146231034516,0.44886363636363635,0.0,0.4976610408015673,0.11105342144270537,0.0,0.16502253290974453,0.05773636037958955,0.0,0.11815421530785816,2.3564810559713814,2.3331050671002354,0.29063688947859545,0.6775854308292485,0.6812428534802419,0.09137394366620269,0.053125033513480774,0.04973230220107079,0.02579120310842662,0.7224814422057264,0.7,0.17817008449143276,0.2506892895015907,0.2,0.16106417587186278,0.026829268292682926,0.0,0.05204133903311868,score,ubcf,cosine,True,3,25.0,0.00028083298821002245
"UBCF[cosine,mc,k=20]",val,20,0.9430180466654868,0.7354793734501875,9596,0.00028083298821002245,0.0051296669989824295,0.015980124997440726,7121536,0.13852556480380498,233,943,880,1.0,0.07829545454545456,0.1,0.09831020060225322,0.16232906527427518,0.05555555555555555,0.24422723505959756,0.5113636363636364,1.0,0.5001551109080279,0.13595430370146924,0.06943122193677728,0.18382994414531573,0.0729312339308619,0.0125,0.13614558621646547,2.333010932956301,2.3299340984926156,0.30803568593563085,0.677046670874002,0.6811786704212658,0.08384440987146394,0.050169412616713656,0.04515169541939322,0.02691262408095093,0.7241781548250265,0.8,0.21683091456142248,0.2635206786850477,0.2,0.20520072340555504,0.012301166489925769,0.0,0.03711041751058362,affinity,ubcf,cosine,True,3,25.0,0.00028083298821002245
"UBCF[cosine,mc,k=30]",val,30,0.9403530921723797,0.7342578340071797,9596,0.00030279101338237524,0.7860787499812432,0.015891292016021907,7121536,0.05291319857312723,89,943,880,1.0,0.0007954545454545454,0.0,0.008888334048598685,0.002575757575757576,0.0,0.03891859942947047,0.007954545454545454,0.0,0.08888334048598688,0.0011250342631544626,0.0,0.014365065187470832,0.0003399621212121212,0.0,0.004974433035958787,8.168337620695377,8.274961489656757,0.3718317639434733,0.648231112983346,0.669183303423375,0.0959146653841024,0.8431371015207708,0.8568114217727544,0.04946924427242072,0.009013785790031814,0.0,0.031138735183987867,0.0018027571580063629,0.0,0.013312163907079429,0.9891834570519619,1.0,0.033697657562375076,rating,ubcf,cosine,True,3,25.0,0.00030279101338237524
