model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,rank_mode,family,lam,similarity,weight_mode,pearson_sim_coef,spearman_sim_coef,frac_negative_coef,mean_abs_coef,rank_deficient_solves,fit_time_s
"RegCF[learned,k=10,lam=0]",val,10,0.9974541525324117,0.7680198950927208,9596,0.17146337497979403,0.016004916047677398,0.018100708024576306,462428,0.34720570749108204,584,943,880,1.0,0.0037500000000000003,0.0,0.019009158920554433,0.013632903230162589,0.0,0.08648528676993072,0.0375,0.0,0.19009158920554436,0.005661946265076644,0.0,0.03177673974191486,0.0016958761724386723,0.0,0.010620572679957717,6.269932287585538,6.478934139837335,0.6981869684677997,0.7680670301909786,0.7812534595905959,0.09319260532446194,0.5929510346754917,0.6235574063057704,0.09954819686361117,0.04729586426299045,0.0,0.10047976449041617,0.03563096500530223,0.0,0.07095645906197282,0.9170731707317072,1.0,0.15725593414224676,rating,regression,0.0,adjusted_cosine,learned,0.00046470640724701655,0.2795315304359773,0.18152439024390243,0.9963980317431104,582,0.17146337497979403
"RegCF[learned,k=10,lam=0]",val,10,0.9974541525324117,0.7680198950927208,9596,0.17146337497979403,0.019480374990962446,0.014741750026587397,462428,0.36741973840665876,618,943,880,1.0,0.001590909090909091,0.0,0.012519505930813753,0.005537458005530761,0.0,0.05947886978063142,0.015909090909090907,0.0,0.1251950593081375,0.0022830577664900687,0.0,0.021258291033479183,0.000694309163059163,0.0,0.007786743814587952,6.562067496201411,6.587292409845924,0.3087203408094303,0.7747594647905498,0.7927016194500847,0.09241781007638049,0.6345293256362198,0.6387269482450921,0.043528594205281,0.0032873806998939556,0.0,0.018992934204954345,0.0072110286320254515,0.0,0.027856262190184614,0.9895015906680806,1.0,0.036077084074852085,score,regression,0.0,adjusted_cosine,learned,0.00046470640724701655,0.2795315304359773,0.18152439024390243,0.9963980317431104,582,0.17146337497979403
"RegCF[learned,k=10,lam=0]",val,10,0.9974541525324117,0.7680198950927208,9596,0.17146337497979403,0.017983582976739854,0.015483916038647294,462428,0.34898929845422116,587,943,880,0.9989395546129375,0.002159090909090909,0.0,0.014542618207790979,0.007509920634920634,0.0,0.06389017319789014,0.02159090909090909,0.0,0.14542618207790975,0.003246957095124509,0.0,0.02469535445380651,0.0010208633958633958,0.0,0.00914823209424557,6.515551018765507,6.562078433372873,0.3422948304834007,0.754538082003448,0.7696897548738016,0.09947875407075282,0.6280167652567559,0.6355740630577037,0.04909678873075215,0.005832449628844115,0.0,0.025611865429659816,0.010922587486744434,0.0,0.036536596388767856,0.9832449628844115,1.0,0.04827458630790384,affinity,regression,0.0,adjusted_cosine,learned,0.00046470640724701655,0.2795315304359773,0.18152439024390243,0.9963980317431104,582,0.17146337497979403
"RegCF[learned,k=10,lam=1]",val,10,0.9592480926422446,0.7469340203670274,9596,0.07471216702833772,0.015313791984226555,0.01685520901810378,462380,0.4351961950059453,732,943,880,1.0,0.03795454545454546,0.0,0.06445993527584286,0.06591911905792468,0.0,0.15302082163949493,0.3034090909090909,0.0,0.4599918047537187,0.05719953687109564,0.0,0.11116087808448145,0.02548352931239836,0.0,0.06846085979337793,3.515051570851176,3.4443694179673074,0.6567652482094217,0.7392146511245784,0.7557623197636991,0.09184411715756577,0.19564712717711455,0.18364069006543726,0.0900101564160502,0.37497348886532345,0.4,0.1982122174855337,0.3057264050901378,0.3,0.12962905353629142,0.31930010604453873,0.3,0.21853774341570534,rating,regression,1.0,adjusted_cosine,learned,0.23774152140224467,0.37982349853350955,0.12359756097560975,0.19293606632386345,0,0.07471216702833772
"RegCF[learned,k=10,lam=1]",val,10,0.9592480926422446,0.7469340203670274,9596,0.07471216702833772,0.01300791697576642,0.014308832993265241,462380,0.6694411414982164,1126,943,880,1.0,0.017159090909090912,0.0,0.040627861443256856,0.036825909263276946,0.0,0.12699462322511423,0.16022727272727272,0.0,0.367025299654411,0.02670214506821961,0.0,0.08093552031537225,0.011471504121429717,0.0,0.05668151240254874,5.177678349617067,5.150355891180296,0.5867772250496185,0.758794205903303,0.7775740813933597,0.09621618451714992,0.4302529108626575,0.42439024390243907,0.08548872089576814,0.05556733828207847,0.0,0.0790621209843409,0.14199363732767764,0.1,0.11247576743885601,0.802439024390244,0.8,0.13893892044162623,score,regression,1.0,adjusted_cosine,learned,0.23774152140224467,0.37982349853350955,0.12359756097560975,0.19293606632386345,0,0.07471216702833772
"RegCF[learned,k=10,lam=1]",val,10,0.9592480926422446,0.7469340203670274,9596,0.07471216702833772,0.01683995802886784,0.013522207969799638,462380,0.5481569560047562,922,943,880,0.9989395546129375,0.028977272727272727,0.0,0.056752055842787516,0.05723589227755956,0.0,0.15047573532869685,0.2431818181818182,0.0,0.42924794793534177,0.04555670485597288,0.0,0.10805211156525046,0.021080246913580247,0.0,0.07672765203989836,4.736594837123356,4.718604548121836,0.6418670826024988,0.75411523686558,0.7759177461758154,0.10935000002940293,0.3665496665053814,0.36341463414634145,0.09281261118352496,0.10721102863202545,0.1,0.10782035171256224,0.19575821845174976,0.2,0.12653739439494638,0.6970307529162247,0.7,0.16687360647943625,affinity,regression,1.0,adjusted_cosine,learned,0.23774152140224467,0.37982349853350955,0.12359756097560975,0.19293606632386345,0,0.07471216702833772
"RegCF[learned,k=10,lam=5]",val,10,0.942502918739125,0.7371074279961779,9596,0.08601291698869318,0.01581466698553413,0.016562208998948336,462380,0.2907253269916766,489,943,880,1.0,0.046363636363636364,0.0,0.07563431900941389,0.07244867936292086,0.0,0.1516157546013522,0.34204545454545454,0.0,0.47466450421393186,0.07026506840199696,0.0,0.1252249301107281,0.032585591244073384,0.0,0.07754178474125736,2.931403218582195,2.8576932208202064,0.37252675086243126,0.7398452850190562,0.7537391215033887,0.07843213714494467,0.11393725519387983,0.10404521118381913,0.046376054112695866,0.497136797454931,0.5,0.17988634461193326,0.36320254506892896,0.4,0.12214088274479232,0.13966065747613995,0.1,0.14386495278379074,rating,regression,5.0,adjusted_cosine,learned,0.3928606596297446,0.5182071233276501,0.06817073170731708,0.1397350504309738,0,0.08601291698869318
"RegCF[learned,k=10,lam=5]",val,10,0.942502918739125,0.7371074279961779,9596,0.08601291698869318,0.015699584037065506,0.014457374985795468,462380,0.6260404280618311,1053,943,880,1.0,0.028409090909090908,0.0,0.05427956880462758,0.056641113577492845,0.0,0.1496876258022398,0.2431818181818182,0.0,0.42924794793534177,0.04857090683244775,0.0,0.11522449021255422,0.0236054287560984,0.0,0.08456887874072469,4.34561945744697,4.30012141019935,0.5894787431790544,0.748655649337776,0.7681971568057626,0.09556032170847009,0.30861635533563003,0.3006543723973825,0.08495770522936885,0.1269353128313892,0.1,0.12301866261884585,0.24273594909862142,0.2,0.138722336624963,0.6303287380699895,0.6,0.18365422050222113,score,regression,5.0,adjusted_cosine,learned,0.3928606596297446,0.5182071233276501,0.06817073170731708,0.1397350504309738,0,0.08601291698869318
"RegCF[learned,k=10,lam=5]",val,10,0.942502918739125,0.7371074279961779,9596,0.08601291698869318,0.017301540996413678,0.013629541965201497,462380,0.4958382877526754,834,943,880,0.9989395546129375,0.04715909090909091,0.0,0.0724423408651726,0.09024893829215318,0.0,0.1763264729859321,0.36022727272727273,0.0,0.48033922709815646,0.0778032307819858,0.0,0.14132568804785692,0.03845871949368973,0.0,0.10287783986923506,3.8174717360888293,3.7554944899327465,0.5915673338002334,0.7428985404940892,0.767486172712944,0.10693367829065765,0.23372588527633717,0.22248661511005358,0.08316757411241098,0.21558854718981973,0.2,0.1563953302265669,0.31569459172852604,0.3,0.14776365490056428,0.4687168610816543,0.5,0.19783098633118482,affinity,regression,5.0,adjusted_cosine,learned,0.3928606596297446,0.5182071233276501,0.06817073170731708,0.1397350504309738,0,0.08601291698869318
"RegCF[learned,k=10,lam=25]",val,10,0.9249092444431513,0.7274076063530035,9596,0.07580483396304771,0.02048933395417407,0.01731537503656,462380,0.1539833531510107,259,943,880,1.0,0.05011363636363636,0.0,0.08289410048820905,0.07154095849609192,0.0,0.14401610131744166,0.3386363636363636,0.0,0.4735151195205077,0.072475500527018,0.0,0.12719603614186925,0.03359202927804118,0.0,0.07598710191852925,2.6844934072052675,2.642136669216412,0.2132804354790079,0.741248610909474,0.7537391215033887,0.062450439571473546,0.08198031394482529,0.07632361689470554,0.022610683523701817,0.5812301166489925,0.6,0.14577479163966323,0.3744432661717922,0.4,0.1242988091845306,0.044326617179215266,0.0,0.07188061730589729,rating,regression,25.0,adjusted_cosine,learned,0.6011709205676612,0.7024949711551001,0.02774390243902439,0.0806233110328162,0,0.07580483396304771
