model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,spec
Random,test,10,1.1203114293608811,0.9404231183786109,19633,0.005813625000882894,0.0008779579657129943,0.02509787498274818,12689008,0.9946492271105827,1673,943,928,1.0,0.007219827586206897,0.0,0.026715714504397768,0.005858628959520235,0.0,0.0332506254594963,0.07004310344827586,0.0,0.25535726664992164,0.007911384867968848,0.0,0.03366052880567434,0.0025483381511129354,0.0,0.01466998960561927,5.825823181788103,5.835014835004868,0.6544293803192425,0.7652744681471785,0.7769881354237169,0.08701164165698975,0.5151908013144224,0.5170136823319452,0.09166611460593271,0.05630965005302227,0.0,0.07063525507293955,0.14008483563096502,0.1,0.10778996450078351,0.8036055143160127,0.8,0.12596860918635883,"{'family': 'random', 'seed': 2310049}"
GlobalMean,test,10,1.1203114293608811,0.9404231183786109,19633,1.6000005416572094e-05,0.0015801249537616968,0.011141250026412308,8,0.11117717003567182,187,943,928,0.0,0.0014008620689655174,0.0,0.012643091641142473,0.000589609784977332,0.0,0.006147032343435926,0.01293103448275862,0.0,0.1130380103621386,0.0014968946906207272,0.0,0.014587191225206424,0.00048611111111111115,0.0,0.005602388600173584,6.648970134393878,6.663518371278935,0.23858074598175463,0.7799893526693483,0.792105174739578,0.047096781516903406,0.629467638752119,0.6346817370612732,0.030496361881310854,0.0,0.0,0.0,0.00042417815482502654,0.0,0.006502516966387975,0.999575821845175,1.0,0.006502516966387974,{'family': 'global_mean'}
UserMean,test,10,1.0411582606632497,0.8338520184678408,19633,0.00010716699762269855,0.002186583005823195,0.006672874966170639,7544,0.11117717003567182,187,943,928,0.0,0.0014008620689655174,0.0,0.012643091641142473,0.000589609784977332,0.0,0.006147032343435926,0.01293103448275862,0.0,0.1130380103621386,0.0014968946906207272,0.0,0.014587191225206424,0.00048611111111111115,0.0,0.005602388600173584,6.648970134393878,6.663518371278935,0.23858074598175463,0.7799893526693483,0.792105174739578,0.047096781516903406,0.629467638752119,0.6346817370612732,0.030496361881310854,0.0,0.0,0.0,0.00042417815482502654,0.0,0.006502516966387975,0.999575821845175,1.0,0.006502516966387974,{'family': 'user_mean'}
ItemMean,test,10,1.023141577839777,0.8153434867242045,19633,0.0005574999959208071,0.0016900000046007335,0.014323166979011148,13456,0.007134363852556481,12,943,928,0.0,0.00032327586206896557,0.0,0.005679598535709942,0.00024670013894151826,0.0,0.005098654340813864,0.003232758620689655,0.0,0.05679598535709943,0.00026865330435988993,0.0,0.00477756979777101,5.918171866447729e-05,0.0,0.0010829162336683225,8.702123814088548,8.665650549217611,0.043437313014369754,0.7020366716306323,0.7211983001784765,0.051382180071826176,0.9026849896825793,0.9025580011897679,0.006582753237704534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,{'family': 'item_mean'}
BiasBaseline,test,10,0.9437945814220744,0.7485067772719683,19633,0.015387499995995313,0.0029993749922141433,0.01461524999467656,21000,0.018430439952437573,31,943,928,1.0,0.06831896551724138,0.0,0.10421835008428254,0.04904417186270882,0.0,0.08771702397698834,0.3911637931034483,0.0,0.48827409219449525,0.07035364840363695,0.0,0.1126302251550799,0.027994256640635182,0.0,0.05887612232759735,2.6427982519540145,2.629146009563376,0.13367290594075762,0.7340373876240507,0.7537391215033887,0.045113623237714624,0.07642852591782777,0.07566924449732301,0.010372810345458588,0.5933191940615058,0.6,0.11841088151219999,0.4029692470837752,0.4,0.11263909121909647,0.003711558854718982,0.0,0.02104008771083177,"{'family': 'bias', 'lam_u': 10.0, 'lam_i': 10.0}"
Popularity,test,10,1.023141577839777,0.8153434867242045,19633,0.00030883296858519316,0.002228334022220224,0.013467457960359752,13456,0.023781212841854936,40,943,928,1.0,0.11627155172413793,0.1,0.12628754184139668,0.12435579113688144,0.08108108108108109,0.16430655266525743,0.6196120689655172,1.0,0.48574397208094594,0.15349732974904098,0.11706259313796355,0.16889867919017645,0.07429984844153179,0.03333333333333333,0.10970419004966221,1.565014305991333,1.5457214742041656,0.09091677721415249,0.76187375109653,0.7709928022440147,0.0483544121907041,0.004845244996949879,0.0043426531826293874,0.001831437128105336,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'family': 'popularity'}
PopularityPositive,test,10,1.023141577839777,0.8153434867242045,19633,0.0005823340034112334,0.002076708013191819,0.013458082976285368,13456,0.02318668252080856,39,943,928,1.0,0.11734913793103449,0.1,0.13264660887920382,0.11293790594434415,0.0734006734006734,0.14681026874845807,0.5980603448275862,1.0,0.49055426088274406,0.15364465522159457,0.10454526374508771,0.1719547356302718,0.0759339170394371,0.02638888888888889,0.11208943262393166,1.6662693217555264,1.6571511647090404,0.09350112550179498,0.6891631872463613,0.7018510040600917,0.05006155821057315,0.007321110559474837,0.006841165972635337,0.0023551161617032085,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'family': 'popularity_positive', 'tau': 4.0}"
